replication,moderate_passive_failure,moderate_active_failure,passive_active_classification,severe_passive_failure,severe_active_failure,primary_family,event_count,max_backlog_passive,has_T2P,has_corridor,has_S1A,has_S1B,has_S1C
121,False,False,Non-failure,False,False,Non-failure,2,278.8720578749336,True,False,False,False,False
122,False,False,Non-failure,False,False,Non-failure,2,141.23366709556376,False,False,False,False,True
123,False,False,Non-failure,False,False,Non-failure,2,76.7394424330464,True,False,True,False,False
124,False,False,Non-failure,False,False,Non-failure,2,1053.7040994856777,False,False,False,False,True
125,False,False,Non-failure,False,False,Non-failure,2,1055.8734990110472,False,True,False,False,False
126,True,False,Adaptation-limited,False,False,Propagation-amplified cascade,2,1456.7268943985307,True,False,False,False,False
127,True,False,Adaptation-limited,False,False,Adaptation-limited failure,2,1924.138678693882,True,False,False,False,False
128,False,False,Non-failure,False,False,Non-failure,2,2764.801559841444,False,False,False,True,False
129,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,True,True,False
130,False,False,Non-failure,False,False,Non-failure,2,115.45526731316647,False,True,False,False,False
131,False,False,Non-failure,False,False,Non-failure,2,175.1175404193873,True,False,False,False,True
132,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,897.3414464954054,True,False,False,True,False
133,False,False,Non-failure,False,False,Non-failure,2,0.0,False,True,True,False,False
134,False,False,Non-failure,False,False,Non-failure,2,2570.791574043672,False,False,False,False,False
135,False,False,Non-failure,False,False,Non-failure,2,534.3613566798263,False,False,True,False,False
136,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,True,False,True
137,False,False,Non-failure,False,False,Non-failure,2,271.87341949182905,True,False,False,True,False
138,False,False,Non-failure,False,False,Non-failure,1,403.6008622833465,False,True,False,False,False
139,False,False,Non-failure,False,False,Non-failure,2,1001.2938816474172,True,False,False,False,False
140,False,False,Non-failure,False,False,Non-failure,1,2945.7930640720215,False,False,False,False,False
141,True,True,Structural,True,False,Concentrated dependency,2,1374.9494959153599,True,True,False,False,False
142,False,False,Non-failure,False,False,Non-failure,1,0.0,False,True,False,False,False
143,False,False,Non-failure,False,False,Non-failure,2,381.065656699157,False,False,True,False,True
144,False,False,Non-failure,False,False,Non-failure,2,868.8210804065221,True,True,False,False,False
145,False,False,Non-failure,False,False,Non-failure,2,920.252612368824,True,False,False,False,False
146,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,3238.502161227152,True,True,False,False,False
147,False,False,Non-failure,False,False,Non-failure,2,214.05287299900647,True,False,False,True,False
148,True,True,Structural,True,True,Hidden convergent dependency,2,2238.394897876427,True,False,False,False,False
149,False,False,Non-failure,False,False,Non-failure,2,0.0,True,True,False,False,False
150,False,False,Non-failure,False,False,Non-failure,2,1347.313074773299,False,False,False,True,False
151,False,False,Non-failure,False,False,Non-failure,2,459.6997057001247,False,True,True,False,False
152,False,False,Non-failure,False,False,Non-failure,2,34.64145503747022,False,False,True,True,False
153,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,True,False,True
154,True,True,Structural,True,False,Hidden convergent dependency,2,1882.639602240231,True,True,False,False,False
155,True,True,Structural,False,False,Hidden convergent dependency,2,1125.3879824384458,True,False,False,False,True
156,False,False,Non-failure,False,False,Non-failure,2,629.9084677649338,True,True,False,False,False
157,False,False,Non-failure,False,False,Non-failure,2,8.439093495261659,True,False,False,True,False
158,False,False,Non-failure,False,False,Non-failure,2,6.370075137275535,True,False,False,True,False
159,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,1783.1832076172377,True,False,False,False,True
160,False,False,Non-failure,False,False,Non-failure,2,1145.3026641456722,True,False,False,False,False
161,True,False,Adaptation-limited,False,False,Adaptation-limited failure,2,952.8343595623262,True,False,False,False,False
162,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,True,False,True
163,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,True,False,True
164,False,False,Non-failure,False,False,Non-failure,2,1912.839259467446,False,False,False,True,False
165,False,False,Non-failure,False,False,Non-failure,2,400.0512606211089,True,False,False,False,True
166,True,True,Structural,False,False,Compounding moderate disturbance,2,980.3782186470955,True,False,False,True,False
167,False,False,Non-failure,False,False,Non-failure,2,1646.4738462998066,True,False,False,False,False
168,False,False,Non-failure,False,False,Non-failure,2,845.6319039175121,False,False,False,False,True
169,False,False,Non-failure,False,False,Non-failure,2,750.1878657349251,False,False,True,True,False
170,True,False,Adaptation-limited,False,False,Compounding moderate disturbance,2,2772.4339819992065,False,True,False,False,False
171,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,3294.442789180226,True,False,False,False,False
172,False,False,Non-failure,False,False,Non-failure,2,1190.2149779500241,True,False,False,False,False
173,False,False,Non-failure,False,False,Non-failure,2,242.55719252544168,True,True,False,False,False
174,True,False,Adaptation-limited,False,False,Adaptation-limited failure,2,1399.5990810481012,True,False,False,False,False
175,False,False,Non-failure,False,False,Non-failure,2,17.36216354576618,False,False,False,True,True
176,False,False,Non-failure,False,False,Non-failure,2,596.9287570152501,False,False,False,False,True
177,False,False,Non-failure,False,False,Non-failure,2,0.0,True,False,False,True,False
178,False,False,Non-failure,False,False,Non-failure,2,8.229461156418097,True,True,False,False,False
179,False,False,Non-failure,False,False,Non-failure,2,894.3325325182464,True,False,False,True,False
180,True,False,Adaptation-limited,False,False,Compounding moderate disturbance,2,387.99838838095604,False,True,True,False,False
181,False,False,Non-failure,False,False,Non-failure,2,460.55199425257456,True,True,False,False,False
182,False,False,Non-failure,False,False,Non-failure,2,386.28592916426885,True,False,False,False,False
183,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,1439.6073852173545,True,True,False,False,False
184,False,False,Non-failure,False,False,Non-failure,2,8.129870270610581,True,False,True,False,False
185,False,False,Non-failure,False,False,Non-failure,2,765.1144102936689,False,False,True,False,False
186,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,True,True,False
187,False,False,Non-failure,False,False,Non-failure,2,186.58877663717135,True,False,False,False,False
188,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,False,False,True
189,False,False,Non-failure,False,False,Non-failure,2,458.4641884738114,False,False,True,False,False
190,True,False,Adaptation-limited,False,False,Adaptation-limited failure,2,1192.3494164063727,True,False,False,False,False
191,False,False,Non-failure,False,False,Non-failure,2,2254.770658515544,False,False,False,False,False
192,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,True,False,True
193,False,False,Non-failure,False,False,Non-failure,2,358.391552012464,True,False,True,False,False
194,True,False,Adaptation-limited,True,False,Propagation-amplified cascade,2,1659.843331301982,True,False,False,False,False
195,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,True,True,False
196,True,True,Structural,False,False,Hidden convergent dependency,2,361.350730829588,True,False,False,False,True
197,False,False,Non-failure,False,False,Non-failure,2,369.38188966250436,False,False,False,True,False
198,True,True,Structural,False,False,Propagation-amplified cascade,2,1062.1845272599226,True,False,False,False,False
199,False,False,Non-failure,False,False,Non-failure,2,0.0,False,True,False,False,True
200,False,False,Non-failure,False,False,Non-failure,2,0.0,False,True,False,True,False
201,False,False,Non-failure,False,False,Non-failure,2,3323.3825603009745,False,False,False,False,False
202,False,False,Non-failure,False,False,Non-failure,1,625.0995397450087,False,True,False,False,False
203,False,False,Non-failure,False,False,Non-failure,2,0.0,True,True,False,False,False
204,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,1244.2325182218217,True,False,False,False,False
205,True,True,Structural,False,False,Concentrated dependency,2,494.68531603777376,False,True,False,True,False
206,False,False,Non-failure,False,False,Non-failure,2,0.0,False,True,False,False,True
207,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,False,True,True
208,True,False,Adaptation-limited,False,False,Compounding moderate disturbance,2,1531.5149609770865,False,True,False,False,False
209,False,False,Non-failure,False,False,Non-failure,2,1408.5059783894317,False,False,True,False,False
210,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,4576.413365527336,False,True,False,False,False
211,False,False,Non-failure,False,False,Non-failure,2,2057.789948339232,False,False,False,False,False
212,False,False,Non-failure,False,False,Non-failure,2,93.4506580933695,True,False,True,False,False
213,False,False,Non-failure,False,False,Non-failure,1,270.4526737190299,False,False,True,False,False
214,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,952.0020315235296,True,False,False,False,False
215,False,False,Non-failure,False,False,Non-failure,2,0.0,True,False,False,False,True
216,False,False,Non-failure,False,False,Non-failure,2,107.2705059726818,True,False,False,False,True
217,False,False,Non-failure,False,False,Non-failure,2,726.4921117573176,True,False,True,False,False
218,False,False,Non-failure,False,False,Non-failure,2,155.88873665834694,False,True,False,False,True
219,False,False,Non-failure,False,False,Non-failure,2,1819.2456403390572,False,False,False,True,False
220,True,True,Structural,True,True,Hidden convergent dependency,2,3334.4441677347654,True,False,False,False,False
221,False,False,Non-failure,False,False,Non-failure,2,924.4753706549072,False,True,True,False,False
222,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,1728.7162881759366,False,True,True,False,False
223,False,False,Non-failure,False,False,Non-failure,2,15.711389792912314,False,False,False,True,False
224,True,True,Structural,False,False,Concentrated dependency,2,1324.582280656691,False,True,False,False,False
225,True,False,Adaptation-limited,True,False,Compounding moderate disturbance,2,3438.0221525639436,False,True,False,False,False
226,False,False,Non-failure,False,False,Non-failure,2,469.5410436316457,True,True,False,False,False
