replication,moderate_passive_failure,moderate_active_failure,passive_active_classification,severe_passive_failure,severe_active_failure,primary_family,event_count,max_backlog_passive,has_T2P,has_corridor,has_S1A,has_S1B,has_S1C
362,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,2020.4806920946908,True,True,False,False,False
363,False,False,Non-failure,False,False,Non-failure,2,143.61898390764532,True,True,False,False,False
364,False,False,Non-failure,False,False,Non-failure,2,870.5453466389908,False,False,False,True,False
365,False,False,Non-failure,False,False,Non-failure,2,1699.323031444571,False,False,False,False,True
366,True,False,Adaptation-limited,False,False,Adaptation-limited failure,2,1376.185828455512,True,False,False,False,False
367,False,False,Non-failure,False,False,Non-failure,1,1468.5683485870572,False,False,False,False,False
368,False,False,Non-failure,False,False,Non-failure,2,2367.646637502263,True,False,False,False,False
369,False,False,Non-failure,False,False,Non-failure,2,690.7330975969095,True,False,False,False,False
370,False,False,Non-failure,False,False,Non-failure,2,1884.4798081294769,False,False,False,False,False
371,True,False,Adaptation-limited,False,False,Adaptation-limited failure,2,1228.6054889741781,True,True,False,False,False
372,True,True,Structural,False,False,Compounding moderate disturbance,2,592.2220494524024,True,False,False,False,False
373,False,False,Non-failure,False,False,Non-failure,2,813.9434758151665,False,True,False,False,False
