topology,seed,replication,dependence_model,moderate_passive_failure,moderate_active_failure,severe_passive_failure,passive_active_classification,mechanism_labels,primary_mechanism,event_count,worst_service_level,max_backlog_passive,has_T2P,has_corridor,has_S1A,has_S1B,has_S1C,event_specification
A,42,1,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,1,0.9899778872429135,126.27862073929032,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.2575165845678149,""start_week"":18,""duration_weeks"":13,""recovery_weeks"":4}]"
A,42,2,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,2,1.0,0.0,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.3667074629899391,""start_week"":4,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.18175446394533065,""start_week"":48,""duration_weeks"":1,""recovery_weeks"":2}]"
A,42,3,Shared upstream shock,True,True,True,Structural,Compounding moderate disturbance,Compounding moderate disturbance,6,0.6301092950787781,1696.0849068791142,True,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.16367540559208318,""start_week"":4,""duration_weeks"":5,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.11762103957141062,""start_week"":8,""duration_weeks"":4,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.3311611396089725,""start_week"":9,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.4329016344290997,""start_week"":17,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.33490697020893256,""start_week"":42,""duration_weeks"":6,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.35056609668397376,""start_week"":49,""duration_weeks"":3,""recovery_weeks"":1}]"
A,42,4,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,0,1.0,0.0,False,False,False,False,False,[]
A,42,5,Shared upstream shock,True,True,True,Structural,Concentrated dependency; Hidden convergent dependency,Hidden convergent dependency,4,0.8054476328428195,1257.7339613515987,True,False,False,False,True,"[{""target"":""demand"",""magnitude"":0.1178921591979534,""start_week"":1,""duration_weeks"":4,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.2750971304414625,""start_week"":11,""duration_weeks"":10,""recovery_weeks"":4},{""target"":""S1C"",""magnitude"":0.33655494488309423,""start_week"":39,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.11649368913787254,""start_week"":48,""duration_weeks"":8,""recovery_weeks"":3}]"
A,42,6,Shared upstream shock,True,True,True,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,Hidden convergent dependency,4,0.5937924889386026,1727.2511599248508,True,True,False,False,False,"[{""target"":""T2P"",""magnitude"":0.5269319855534986,""start_week"":22,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.2361664399969593,""start_week"":23,""duration_weeks"":10,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.21856465260081515,""start_week"":24,""duration_weeks"":6,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.21968288732746444,""start_week"":33,""duration_weeks"":8,""recovery_weeks"":2}]"
A,42,7,Shared upstream shock,True,True,True,Structural,Concentrated dependency,Concentrated dependency,3,0.6694994304256612,2554.087636308111,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.3290970216510387,""start_week"":27,""duration_weeks"":10,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.2780945171418665,""start_week"":31,""duration_weeks"":2,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.25156902111996227,""start_week"":35,""duration_weeks"":4,""recovery_weeks"":1}]"
A,42,8,Shared upstream shock,True,True,True,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,Hidden convergent dependency,5,0.7031340247213954,1133.1935745209682,True,False,True,True,False,"[{""target"":""S1A"",""magnitude"":0.27566545605466525,""start_week"":1,""duration_weeks"":4,""recovery_weeks"":2},{""target"":""S1B"",""magnitude"":0.3857765326061381,""start_week"":18,""duration_weeks"":11,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.2355536367676322,""start_week"":26,""duration_weeks"":3,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.28872230292440226,""start_week"":30,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.100416305828779,""start_week"":43,""duration_weeks"":1,""recovery_weeks"":3}]"
A,42,9,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,2,0.9049256311396777,199.6561746066767,True,False,False,False,True,"[{""target"":""S1C"",""magnitude"":0.463917329935725,""start_week"":27,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.18803758970710122,""start_week"":43,""duration_weeks"":2,""recovery_weeks"":3}]"
A,42,10,Shared upstream shock,True,True,False,Structural,Concentrated dependency; Recovery lag and temporal overlap,Recovery lag and temporal overlap,5,0.84986002152271,270.25196125912214,False,True,False,True,True,"[{""target"":""S1C"",""magnitude"":0.21308616838383757,""start_week"":5,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.3626049838579675,""start_week"":6,""duration_weeks"":1,""recovery_weeks"":2},{""target"":""S1B"",""magnitude"":0.22300817956825156,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""S1B"",""magnitude"":0.27192527264852806,""start_week"":17,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.1770158371636346,""start_week"":42,""duration_weeks"":3,""recovery_weeks"":2}]"
A,42,11,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,2,0.9055242538300808,198.3990669568302,False,False,True,False,True,"[{""target"":""S1A"",""magnitude"":0.46257042888231814,""start_week"":6,""duration_weeks"":2,""recovery_weeks"":1},{""target"":""S1C"",""magnitude"":0.32850848938596666,""start_week"":18,""duration_weeks"":1,""recovery_weeks"":3}]"
A,42,12,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,1,0.8461676471652502,251.2116661238906,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.31793215673503306,""start_week"":40,""duration_weeks"":2,""recovery_weeks"":4}]"
A,42,13,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,3,0.9298257962056801,126.31356682977594,True,False,False,True,False,"[{""target"":""S1B"",""magnitude"":0.40789195853721993,""start_week"":2,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.2250945710257416,""start_week"":37,""duration_weeks"":2,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.13884771633853613,""start_week"":39,""duration_weeks"":1,""recovery_weeks"":1}]"
A,42,14,Shared upstream shock,True,True,True,Structural,Concentrated dependency; Propagation-amplified cascade,Propagation-amplified cascade,7,0.3997283236373637,1192.6143460220399,True,True,False,True,True,"[{""target"":""T2P"",""magnitude"":0.519925109984469,""start_week"":1,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.2506263111116085,""start_week"":3,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.38512558510761596,""start_week"":5,""duration_weeks"":1,""recovery_weeks"":2},{""target"":""S1B"",""magnitude"":0.3281686023872501,""start_week"":22,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""S1C"",""magnitude"":0.3051298128450994,""start_week"":25,""duration_weeks"":4,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.12346689444961649,""start_week"":39,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.31612264459368955,""start_week"":51,""duration_weeks"":2,""recovery_weeks"":3}]"
A,42,15,Shared upstream shock,True,True,True,Structural,Concentrated dependency,Concentrated dependency,2,0.7410282989787397,1008.0993569452459,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.39093949828380065,""start_week"":6,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.09588347715480616,""start_week"":9,""duration_weeks"":3,""recovery_weeks"":2}]"
A,42,16,Shared upstream shock,True,True,True,Structural,Concentrated dependency,Concentrated dependency,3,0.7333627134036059,1830.5091642999425,True,True,False,True,False,"[{""target"":""S1B"",""magnitude"":0.3589717057253686,""start_week"":22,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.4499779649472956,""start_week"":28,""duration_weeks"":7,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.32478405645378233,""start_week"":38,""duration_weeks"":2,""recovery_weeks"":2}]"
A,42,17,Shared upstream shock,True,True,True,Structural,Concentrated dependency,Concentrated dependency,4,0.43779925358675315,2228.2905864454274,True,True,False,True,False,"[{""target"":""corridor"",""magnitude"":0.32651181253541506,""start_week"":2,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""S1B"",""magnitude"":0.2742318146219247,""start_week"":9,""duration_weeks"":6,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.6059806717719222,""start_week"":23,""duration_weeks"":5,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.4663090914402954,""start_week"":50,""duration_weeks"":3,""recovery_weeks"":3}]"
A,42,18,Shared upstream shock,True,True,False,Structural,Concentrated dependency,Concentrated dependency,1,0.7455547001304045,942.9293237042019,False,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.34128320809337065,""start_week"":7,""duration_weeks"":4,""recovery_weeks"":3}]"
A,42,19,Shared upstream shock,True,False,False,Adaptation-limited,Concentrated dependency,Concentrated dependency,1,0.7775255474489513,400.4540145918877,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.41685583941328663,""start_week"":28,""duration_weeks"":1,""recovery_weeks"":2}]"
A,42,20,Shared upstream shock,True,True,False,Structural,Compounding moderate disturbance,Compounding moderate disturbance,3,0.8767609642570837,372.00409064572216,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.2648463315035704,""start_week"":7,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.11798418416032165,""start_week"":8,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.32378600106076033,""start_week"":47,""duration_weeks"":2,""recovery_weeks"":3}]"
A,42,21,Shared upstream shock,True,False,False,Adaptation-limited,Compounding moderate disturbance,Compounding moderate disturbance,2,0.8327729979315414,566.4822256123683,False,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.20080742589375566,""start_week"":5,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.25535368272339953,""start_week"":13,""duration_weeks"":3,""recovery_weeks"":3}]"
A,42,22,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,2,1.0,0.0,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.2514469211084166,""start_week"":47,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.3007917151163612,""start_week"":49,""duration_weeks"":2,""recovery_weeks"":4}]"
