topology,seed,replication,dependence_model,moderate_passive_failure,moderate_active_failure,severe_passive_failure,passive_active_classification,mechanism_labels,primary_mechanism,event_count,worst_service_level,max_backlog_passive,has_T2P,has_corridor,has_S1A,has_S1B,has_S1C,event_specification
A,2026,1,Demand-supply coupling,True,True,False,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,2,0.7963567209348931,499.6737069515772,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.28327895115859625,""start_week"":9,""duration_weeks"":5,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.20992151624138472,""start_week"":41,""duration_weeks"":1,""recovery_weeks"":3}]"
A,2026,2,Demand-supply coupling,False,,False,Non-failure,Unclassified,Unclassified,2,0.9444809158152776,52.90437840463778,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.2023995480738911,""start_week"":37,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.058782642671819665,""start_week"":43,""duration_weeks"":3,""recovery_weeks"":4}]"
A,2026,3,Demand-supply coupling,True,True,False,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,3,0.7858327540148559,373.0091416594912,True,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.0973634348270472,""start_week"":13,""duration_weeks"":3,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.29275052138662994,""start_week"":17,""duration_weeks"":4,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.16886713563103195,""start_week"":42,""duration_weeks"":4,""recovery_weeks"":2}]"
A,2026,4,Demand-supply coupling,True,True,True,Structural,Concentrated dependency,Concentrated dependency,3,0.7034287560952048,1117.1322329188783,False,True,False,False,False,"[{""target"":""demand"",""magnitude"":0.12079909147372199,""start_week"":22,""duration_weeks"":5,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.4724284329285964,""start_week"":29,""duration_weeks"":4,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.0812180791807901,""start_week"":36,""duration_weeks"":11,""recovery_weeks"":2}]"
A,2026,5,Demand-supply coupling,True,True,True,Structural,Concentrated dependency; Hidden convergent dependency,Hidden convergent dependency,2,0.6761924624520248,1357.353322216402,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.4517952459403757,""start_week"":15,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.14826474574194215,""start_week"":19,""duration_weeks"":17,""recovery_weeks"":4}]"
A,2026,6,Demand-supply coupling,False,,False,Non-failure,Unclassified,Unclassified,2,0.842355752774516,168.43218798662883,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.21383377950505042,""start_week"":12,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.1871468755406987,""start_week"":40,""duration_weeks"":1,""recovery_weeks"":2}]"
A,2026,7,Demand-supply coupling,False,,False,Non-failure,Unclassified,Unclassified,0,1.0,0.0,False,False,False,False,False,[]
A,2026,8,Demand-supply coupling,True,True,False,Structural,Concentrated dependency,Concentrated dependency,5,0.7973537383423734,648.4779017879704,False,False,False,True,True,"[{""target"":""S1C"",""magnitude"":0.5529863526374228,""start_week"":1,""duration_weeks"":11,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.175175038516106,""start_week"":9,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""S1B"",""magnitude"":0.5260147436744468,""start_week"":12,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.22625375119126928,""start_week"":18,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.13504830563220616,""start_week"":39,""duration_weeks"":4,""recovery_weeks"":3}]"
A,2026,9,Demand-supply coupling,True,True,True,Structural,Concentrated dependency; Hidden convergent dependency,Hidden convergent dependency,6,0.501321705904231,2924.483634290757,True,False,False,True,False,"[{""target"":""T2P"",""magnitude"":0.23138019039115187,""start_week"":6,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.08766280177008834,""start_week"":16,""duration_weeks"":4,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.5059110576513564,""start_week"":30,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.142621017368007,""start_week"":32,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1B"",""magnitude"":0.3665052123637166,""start_week"":35,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.13180780071303316,""start_week"":41,""duration_weeks"":3,""recovery_weeks"":2}]"
A,2026,10,Demand-supply coupling,True,False,True,Adaptation-limited,Concentrated dependency,Concentrated dependency,2,0.7861652159222027,1347.1591396901226,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.410376088058348,""start_week"":2,""duration_weeks"":6,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.08608693986189689,""start_week"":20,""duration_weeks"":1,""recovery_weeks"":3}]"
