topology,seed,replication,dependence_model,moderate_passive_failure,moderate_active_failure,severe_passive_failure,passive_active_classification,mechanism_labels,primary_mechanism,event_count,worst_service_level,max_backlog_passive,has_T2P,has_corridor,has_S1A,has_S1B,has_S1C,event_specification
A,42,1,Demand-supply coupling,False,,False,Non-failure,Unclassified,Unclassified,1,0.9899778872429135,126.27862073929032,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.2575165845678149,""start_week"":18,""duration_weeks"":13,""recovery_weeks"":4}]"
A,42,2,Demand-supply coupling,False,,False,Non-failure,Unclassified,Unclassified,2,0.8934644412972594,107.31485037418088,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.3667074629899391,""start_week"":4,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.1192387226379788,""start_week"":48,""duration_weeks"":3,""recovery_weeks"":3}]"
A,42,3,Demand-supply coupling,True,True,False,Structural,Compounding moderate disturbance,Compounding moderate disturbance,4,0.855096148248081,403.97113785819295,True,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.16367540559208318,""start_week"":4,""duration_weeks"":5,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.11663358202129542,""start_week"":8,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.21382551697502505,""start_week"":35,""duration_weeks"":3,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.36640204293990125,""start_week"":43,""duration_weeks"":1,""recovery_weeks"":2}]"
A,42,4,Demand-supply coupling,False,,False,Non-failure,Unclassified,Unclassified,0,1.0,0.0,False,False,False,False,False,[]
A,42,5,Demand-supply coupling,False,,False,Non-failure,Unclassified,Unclassified,4,0.8945406690368625,119.07623527098781,False,True,False,False,True,"[{""target"":""demand"",""magnitude"":0.1178921591979534,""start_week"":1,""duration_weeks"":4,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.2750971304414625,""start_week"":11,""duration_weeks"":10,""recovery_weeks"":1},{""target"":""S1C"",""magnitude"":0.33655494488309423,""start_week"":39,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.124986510086091,""start_week"":48,""duration_weeks"":3,""recovery_weeks"":4}]"
A,42,6,Demand-supply coupling,True,True,False,Structural,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,Hidden convergent dependency,4,0.4380660516403026,1233.2706177777918,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.5269319855534986,""start_week"":22,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.1998901197538509,""start_week"":23,""duration_weeks"":5,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.3182283292206687,""start_week"":46,""duration_weeks"":1,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.26791060083330975,""start_week"":51,""duration_weeks"":2,""recovery_weeks"":3}]"
A,42,7,Demand-supply coupling,True,True,True,Structural,Concentrated dependency,Concentrated dependency,3,0.6998991799649427,1920.078414790591,True,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.3290970216510387,""start_week"":27,""duration_weeks"":10,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.2780945171418665,""start_week"":31,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.4166892614551615,""start_week"":34,""duration_weeks"":2,""recovery_weeks"":1}]"
A,42,8,Demand-supply coupling,True,True,True,Structural,Concentrated dependency; Hidden convergent dependency,Hidden convergent dependency,4,0.48512389827724345,1582.12394487741,True,False,True,False,False,"[{""target"":""S1A"",""magnitude"":0.27566545605466525,""start_week"":1,""duration_weeks"":4,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.1769565944802282,""start_week"":18,""duration_weeks"":11,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.5247578487274297,""start_week"":26,""duration_weeks"":1,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.09127573763481063,""start_week"":40,""duration_weeks"":2,""recovery_weeks"":2}]"
A,42,9,Demand-supply coupling,False,,False,Non-failure,Unclassified,Unclassified,2,0.9049256311396777,199.6561746066767,False,False,False,False,True,"[{""target"":""S1C"",""magnitude"":0.463917329935725,""start_week"":27,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.0704817790730545,""start_week"":43,""duration_weeks"":2,""recovery_weeks"":1}]"
A,42,10,Demand-supply coupling,True,False,False,Adaptation-limited,Concentrated dependency,Concentrated dependency,5,0.696801133781052,512.1615367512508,False,True,False,False,True,"[{""target"":""S1C"",""magnitude"":0.21308616838383757,""start_week"":5,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.1451734747079772,""start_week"":6,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.30304219396867604,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.16231779679610725,""start_week"":39,""duration_weeks"":2,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.3925717310339336,""start_week"":40,""duration_weeks"":1,""recovery_weeks"":2}]"
