τ_B,κ_alt,ρ_rel,Passive pathways,Active pathways,Adaptation-limited pathways
0.1,200.0,0.3,21,7,14
0.17,0.0,0.3,21,11,10
0.17,200.0,0.15,21,15,6
0.17,200.0,0.3,21,11,10
0.17,500.0,0.3,21,11,10
0.17,200.0,0.5,21,9,12
0.25,200.0,0.3,21,17,4
