method,discovered_exact_multilabel_signatures,discovered_exact_multilabel_signature_count,exact_multilabel_signature_coverage_full_denominator,exact_multilabel_signature_coverage_non_adaptation_limited,exact_multilabel_signature_coverage_CMD_PAC_RL_TO,exact_multilabel_signature_coverage_unique_signatures,moderate_failure_denominator,non_adaptation_limited_denominator,CMD_PAC_RL_TO_multilabel_denominator,MC_unique_exact_signature_denominator
Baseline FST,[Compounding moderate disturbance] | [Concentrated dependency] | [Concentrated dependency; Hidden convergent dependency] | [Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade],4,0.7934826883910387,0.8105206655931294,0.5972994440031771,0.26666666666666666,2455,1863,1259,15
Mechanism-balanced FST,[Concentrated dependency] | [Concentrated dependency; Hidden convergent dependency] | [Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade] | [Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap] | [Concentrated dependency; Propagation-amplified cascade],5,0.8525458248472505,0.8733225979602791,0.7124702144559174,0.3333333333333333,2455,1863,1259,15
RST,[Compounding moderate disturbance] | [Concentrated dependency] | [Concentrated dependency; Hidden convergent dependency] | [Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade] | [Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap] | [Concentrated dependency; Propagation-amplified cascade] | [Hidden convergent dependency; Compounding moderate disturbance],7,0.9022403258655805,0.917337627482555,0.8093725178713265,0.4666666666666667,2455,1863,1259,15
