execution_id,request_id,method,candidate_id,threshold,purpose,active,direct_impact,event_indices,event_specification,elapsed_seconds,topology
15,21,MI-MD,FST-MI-09,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.0037622000090777874,B
16,22,MI-MD,FST-MI-09,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.0035596999805420637,B
17,24,MI-MD,FST-MI-09,moderate,upstream_node_deletion,False,False,,[],0.004724700003862381,B
18,25,MI-MD,FST-MI-09,moderate,direct_impact,False,True,0,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.007122599985450506,B
19,26,MI-MD,FST-MI-10,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]",0.00493949995143339,B
20,27,MI-MD,FST-MI-10,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]",0.003896300040651113,B
21,30,MI-MD,FST-MI-10,moderate,direct_impact,False,True,0,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]",0.004816000000573695,B
22,31,MI-MD,FST-MI-11,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.004120800003875047,B
23,32,MI-MD,FST-MI-11,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.00683610001578927,B
24,35,MI-MD,FST-MI-11,moderate,direct_impact,False,True,0,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.007270600006449968,B
25,36,MI-MD,FST-MI-12,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]",0.005920700030401349,B
26,37,MI-MD,FST-MI-12,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]",0.007717499975115061,B
27,40,MI-MD,FST-MI-12,moderate,direct_impact,False,True,0,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]",0.0076911000069230795,B
28,44,MI-MD,FST-MI-13,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]",0.006604499998502433,B
