cohort,topology,threshold,method,signature,failure_frequency,total_failures,covered,uncovered_fraction
validation,A,moderate,MI-FST,Compounding moderate disturbance,81,2483,False,0.03262182843334676
validation,A,moderate,MI-FST,Hidden convergent dependency; Compounding moderate disturbance,42,2483,False,0.016915022150624244
validation,A,moderate,MI-FST,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,22,2483,False,0.008860249697946033
validation,A,moderate,MI-FST,Compounding moderate disturbance; Recovery lag and temporal overlap,40,2483,False,0.016109544905356425
validation,A,moderate,MI-FST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,18,2483,False,0.00724929520741039
validation,A,moderate,MI-FST,Concentrated dependency; Recovery lag and temporal overlap,85,2483,False,0.0342327829238824
validation,A,moderate,MI-FST,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,24,2483,False,0.009665726943213854
validation,A,moderate,MI-FST,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,23,2483,False,0.009262988320579944
validation,A,moderate,MI-FST,Compounding moderate disturbance; Propagation-amplified cascade,4,2483,False,0.0016109544905356424
validation,A,moderate,MI-FST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,28,2483,False,0.011276681433749497
validation,A,moderate,MI-FST,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,2,2483,False,0.0008054772452678212
validation,A,moderate,RST,Concentrated dependency,1120,2483,True,0.0
validation,A,moderate,RST,Concentrated dependency; Propagation-amplified cascade,142,2483,True,0.0
validation,A,moderate,RST,Concentrated dependency; Hidden convergent dependency,131,2483,True,0.0
validation,A,moderate,RST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,668,2483,True,0.0
validation,A,moderate,RST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,53,2483,True,0.0
validation,A,moderate,RST,Compounding moderate disturbance,81,2483,True,0.0
validation,A,moderate,RST,Hidden convergent dependency; Compounding moderate disturbance,42,2483,True,0.0
validation,A,moderate,RST,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,22,2483,False,0.008860249697946033
validation,A,moderate,RST,Compounding moderate disturbance; Recovery lag and temporal overlap,40,2483,False,0.016109544905356425
validation,A,moderate,RST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,18,2483,False,0.00724929520741039
validation,A,moderate,RST,Concentrated dependency; Recovery lag and temporal overlap,85,2483,False,0.0342327829238824
validation,A,moderate,RST,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,24,2483,False,0.009665726943213854
validation,A,moderate,RST,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,23,2483,False,0.009262988320579944
validation,A,moderate,RST,Compounding moderate disturbance; Propagation-amplified cascade,4,2483,False,0.0016109544905356424
validation,A,moderate,RST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,28,2483,False,0.011276681433749497
validation,A,moderate,RST,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,2,2483,False,0.0008054772452678212
validation,A,moderate,MI-C,Concentrated dependency,1120,2483,True,0.0
validation,A,moderate,MI-C,Concentrated dependency; Propagation-amplified cascade,142,2483,True,0.0
validation,A,moderate,MI-C,Concentrated dependency; Hidden convergent dependency,131,2483,True,0.0
validation,A,moderate,MI-C,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,668,2483,True,0.0
validation,A,moderate,MI-C,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,53,2483,True,0.0
validation,A,moderate,MI-C,Compounding moderate disturbance,81,2483,False,0.03262182843334676
validation,A,moderate,MI-C,Hidden convergent dependency; Compounding moderate disturbance,42,2483,False,0.016915022150624244
validation,A,moderate,MI-C,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,22,2483,False,0.008860249697946033
validation,A,moderate,MI-C,Compounding moderate disturbance; Recovery lag and temporal overlap,40,2483,False,0.016109544905356425
validation,A,moderate,MI-C,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,18,2483,False,0.00724929520741039
validation,A,moderate,MI-C,Concentrated dependency; Recovery lag and temporal overlap,85,2483,False,0.0342327829238824
validation,A,moderate,MI-C,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,24,2483,False,0.009665726943213854
validation,A,moderate,MI-C,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,23,2483,False,0.009262988320579944
validation,A,moderate,MI-C,Compounding moderate disturbance; Propagation-amplified cascade,4,2483,False,0.0016109544905356424
validation,A,moderate,MI-C,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,28,2483,False,0.011276681433749497
validation,A,moderate,MI-C,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,2,2483,False,0.0008054772452678212
validation,A,moderate,MI-M,Concentrated dependency,1120,2483,True,0.0
validation,A,moderate,MI-M,Concentrated dependency; Propagation-amplified cascade,142,2483,True,0.0
validation,A,moderate,MI-M,Concentrated dependency; Hidden convergent dependency,131,2483,True,0.0
validation,A,moderate,MI-M,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,668,2483,True,0.0
validation,A,moderate,MI-M,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,53,2483,True,0.0
validation,A,moderate,MI-M,Compounding moderate disturbance,81,2483,False,0.03262182843334676
validation,A,moderate,MI-M,Hidden convergent dependency; Compounding moderate disturbance,42,2483,True,0.0
validation,A,moderate,MI-M,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,22,2483,False,0.008860249697946033
validation,A,moderate,MI-M,Compounding moderate disturbance; Recovery lag and temporal overlap,40,2483,False,0.016109544905356425
validation,A,moderate,MI-M,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,18,2483,False,0.00724929520741039
validation,A,moderate,MI-M,Concentrated dependency; Recovery lag and temporal overlap,85,2483,False,0.0342327829238824
validation,A,moderate,MI-M,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,24,2483,False,0.009665726943213854
validation,A,moderate,MI-M,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,23,2483,False,0.009262988320579944
validation,A,moderate,MI-M,Compounding moderate disturbance; Propagation-amplified cascade,4,2483,False,0.0016109544905356424
validation,A,moderate,MI-M,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,28,2483,False,0.011276681433749497
validation,A,moderate,MI-M,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,2,2483,False,0.0008054772452678212
validation,A,moderate,MI-MD,Concentrated dependency,1120,2483,True,0.0
validation,A,moderate,MI-MD,Concentrated dependency; Propagation-amplified cascade,142,2483,True,0.0
validation,A,moderate,MI-MD,Concentrated dependency; Hidden convergent dependency,131,2483,True,0.0
validation,A,moderate,MI-MD,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,668,2483,True,0.0
validation,A,moderate,MI-MD,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,53,2483,True,0.0
validation,A,moderate,MI-MD,Compounding moderate disturbance,81,2483,False,0.03262182843334676
validation,A,moderate,MI-MD,Hidden convergent dependency; Compounding moderate disturbance,42,2483,True,0.0
validation,A,moderate,MI-MD,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,22,2483,False,0.008860249697946033
validation,A,moderate,MI-MD,Compounding moderate disturbance; Recovery lag and temporal overlap,40,2483,False,0.016109544905356425
validation,A,moderate,MI-MD,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,18,2483,False,0.00724929520741039
validation,A,moderate,MI-MD,Concentrated dependency; Recovery lag and temporal overlap,85,2483,False,0.0342327829238824
validation,A,moderate,MI-MD,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,24,2483,False,0.009665726943213854
validation,A,moderate,MI-MD,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,23,2483,False,0.009262988320579944
validation,A,moderate,MI-MD,Compounding moderate disturbance; Propagation-amplified cascade,4,2483,False,0.0016109544905356424
validation,A,moderate,MI-MD,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,28,2483,False,0.011276681433749497
validation,A,moderate,MI-MD,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,2,2483,False,0.0008054772452678212
validation,A,moderate,MI-MDA,Concentrated dependency,1120,2483,True,0.0
validation,A,moderate,MI-MDA,Concentrated dependency; Propagation-amplified cascade,142,2483,True,0.0
validation,A,moderate,MI-MDA,Concentrated dependency; Hidden convergent dependency,131,2483,True,0.0
validation,A,moderate,MI-MDA,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,668,2483,True,0.0
validation,A,moderate,MI-MDA,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,53,2483,True,0.0
validation,A,moderate,MI-MDA,Compounding moderate disturbance,81,2483,True,0.0
validation,A,moderate,MI-MDA,Hidden convergent dependency; Compounding moderate disturbance,42,2483,True,0.0
validation,A,moderate,MI-MDA,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,22,2483,False,0.008860249697946033
validation,A,moderate,MI-MDA,Compounding moderate disturbance; Recovery lag and temporal overlap,40,2483,False,0.016109544905356425
validation,A,moderate,MI-MDA,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,18,2483,False,0.00724929520741039
validation,A,moderate,MI-MDA,Concentrated dependency; Recovery lag and temporal overlap,85,2483,False,0.0342327829238824
validation,A,moderate,MI-MDA,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,24,2483,False,0.009665726943213854
validation,A,moderate,MI-MDA,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,23,2483,False,0.009262988320579944
validation,A,moderate,MI-MDA,Compounding moderate disturbance; Propagation-amplified cascade,4,2483,False,0.0016109544905356424
validation,A,moderate,MI-MDA,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,28,2483,False,0.011276681433749497
validation,A,moderate,MI-MDA,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,2,2483,False,0.0008054772452678212
validation,A,severe,FST-original,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,62,1404,False,0.04415954415954416
validation,A,severe,FST-original,Concentrated dependency; Hidden convergent dependency,24,1404,True,0.0
validation,A,severe,FST-original,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,487,1404,True,0.0
validation,A,severe,FST-original,Concentrated dependency,440,1404,True,0.0
validation,A,severe,FST-original,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,54,1404,False,0.038461538461538464
validation,A,severe,FST-original,Concentrated dependency; Propagation-amplified cascade,100,1404,False,0.07122507122507123
validation,A,severe,FST-original,Hidden convergent dependency; Compounding moderate disturbance,24,1404,False,0.017094017094017096
validation,A,severe,FST-original,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,22,1404,False,0.01566951566951567
validation,A,severe,FST-original,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,34,1404,False,0.024216524216524215
validation,A,severe,FST-original,Compounding moderate disturbance; Recovery lag and temporal overlap,20,1404,False,0.014245014245014245
validation,A,severe,FST-original,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,3,1404,False,0.002136752136752137
validation,A,severe,FST-original,Compounding moderate disturbance,51,1404,False,0.03632478632478633
validation,A,severe,FST-original,Compounding moderate disturbance; Propagation-amplified cascade,9,1404,False,0.00641025641025641
validation,A,severe,FST-original,Concentrated dependency; Recovery lag and temporal overlap,42,1404,False,0.029914529914529916
validation,A,severe,FST-original,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,22,1404,False,0.01566951566951567
validation,A,severe,FST-original,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,10,1404,False,0.007122507122507123
validation,A,severe,MI-FST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,62,1404,False,0.04415954415954416
validation,A,severe,MI-FST,Concentrated dependency; Hidden convergent dependency,24,1404,True,0.0
validation,A,severe,MI-FST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,487,1404,True,0.0
validation,A,severe,MI-FST,Concentrated dependency,440,1404,True,0.0
validation,A,severe,MI-FST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,54,1404,True,0.0
validation,A,severe,MI-FST,Concentrated dependency; Propagation-amplified cascade,100,1404,True,0.0
validation,A,severe,MI-FST,Hidden convergent dependency; Compounding moderate disturbance,24,1404,False,0.017094017094017096
validation,A,severe,MI-FST,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,22,1404,False,0.01566951566951567
validation,A,severe,MI-FST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,34,1404,False,0.024216524216524215
validation,A,severe,MI-FST,Compounding moderate disturbance; Recovery lag and temporal overlap,20,1404,False,0.014245014245014245
validation,A,severe,MI-FST,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,3,1404,False,0.002136752136752137
validation,A,severe,MI-FST,Compounding moderate disturbance,51,1404,False,0.03632478632478633
validation,A,severe,MI-FST,Compounding moderate disturbance; Propagation-amplified cascade,9,1404,False,0.00641025641025641
validation,A,severe,MI-FST,Concentrated dependency; Recovery lag and temporal overlap,42,1404,False,0.029914529914529916
validation,A,severe,MI-FST,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,22,1404,True,0.0
validation,A,severe,MI-FST,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,10,1404,False,0.007122507122507123
validation,A,severe,RST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,62,1404,True,0.0
validation,A,severe,RST,Concentrated dependency; Hidden convergent dependency,24,1404,False,0.017094017094017096
validation,A,severe,RST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,487,1404,True,0.0
validation,A,severe,RST,Concentrated dependency,440,1404,True,0.0
validation,A,severe,RST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,54,1404,True,0.0
validation,A,severe,RST,Concentrated dependency; Propagation-amplified cascade,100,1404,True,0.0
validation,A,severe,RST,Hidden convergent dependency; Compounding moderate disturbance,24,1404,True,0.0
validation,A,severe,RST,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,22,1404,False,0.01566951566951567
validation,A,severe,RST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,34,1404,False,0.024216524216524215
validation,A,severe,RST,Compounding moderate disturbance; Recovery lag and temporal overlap,20,1404,False,0.014245014245014245
validation,A,severe,RST,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,3,1404,False,0.002136752136752137
validation,A,severe,RST,Compounding moderate disturbance,51,1404,True,0.0
validation,A,severe,RST,Compounding moderate disturbance; Propagation-amplified cascade,9,1404,False,0.00641025641025641
validation,A,severe,RST,Concentrated dependency; Recovery lag and temporal overlap,42,1404,False,0.029914529914529916
validation,A,severe,RST,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,22,1404,True,0.0
validation,A,severe,RST,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,10,1404,False,0.007122507122507123
validation,A,severe,MI-C,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,62,1404,False,0.04415954415954416
validation,A,severe,MI-C,Concentrated dependency; Hidden convergent dependency,24,1404,True,0.0
validation,A,severe,MI-C,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,487,1404,True,0.0
validation,A,severe,MI-C,Concentrated dependency,440,1404,True,0.0
validation,A,severe,MI-C,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,54,1404,True,0.0
validation,A,severe,MI-C,Concentrated dependency; Propagation-amplified cascade,100,1404,True,0.0
validation,A,severe,MI-C,Hidden convergent dependency; Compounding moderate disturbance,24,1404,False,0.017094017094017096
validation,A,severe,MI-C,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,22,1404,False,0.01566951566951567
validation,A,severe,MI-C,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,34,1404,False,0.024216524216524215
validation,A,severe,MI-C,Compounding moderate disturbance; Recovery lag and temporal overlap,20,1404,False,0.014245014245014245
validation,A,severe,MI-C,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,3,1404,False,0.002136752136752137
validation,A,severe,MI-C,Compounding moderate disturbance,51,1404,False,0.03632478632478633
validation,A,severe,MI-C,Compounding moderate disturbance; Propagation-amplified cascade,9,1404,False,0.00641025641025641
validation,A,severe,MI-C,Concentrated dependency; Recovery lag and temporal overlap,42,1404,False,0.029914529914529916
validation,A,severe,MI-C,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,22,1404,True,0.0
validation,A,severe,MI-C,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,10,1404,False,0.007122507122507123
validation,A,severe,MI-M,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,62,1404,True,0.0
validation,A,severe,MI-M,Concentrated dependency; Hidden convergent dependency,24,1404,True,0.0
validation,A,severe,MI-M,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,487,1404,True,0.0
validation,A,severe,MI-M,Concentrated dependency,440,1404,True,0.0
validation,A,severe,MI-M,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,54,1404,True,0.0
validation,A,severe,MI-M,Concentrated dependency; Propagation-amplified cascade,100,1404,True,0.0
validation,A,severe,MI-M,Hidden convergent dependency; Compounding moderate disturbance,24,1404,True,0.0
validation,A,severe,MI-M,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,22,1404,False,0.01566951566951567
validation,A,severe,MI-M,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,34,1404,False,0.024216524216524215
validation,A,severe,MI-M,Compounding moderate disturbance; Recovery lag and temporal overlap,20,1404,False,0.014245014245014245
validation,A,severe,MI-M,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,3,1404,False,0.002136752136752137
validation,A,severe,MI-M,Compounding moderate disturbance,51,1404,False,0.03632478632478633
validation,A,severe,MI-M,Compounding moderate disturbance; Propagation-amplified cascade,9,1404,False,0.00641025641025641
validation,A,severe,MI-M,Concentrated dependency; Recovery lag and temporal overlap,42,1404,False,0.029914529914529916
validation,A,severe,MI-M,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,22,1404,True,0.0
validation,A,severe,MI-M,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,10,1404,False,0.007122507122507123
validation,A,severe,MI-MD,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,62,1404,True,0.0
validation,A,severe,MI-MD,Concentrated dependency; Hidden convergent dependency,24,1404,False,0.017094017094017096
validation,A,severe,MI-MD,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,487,1404,True,0.0
validation,A,severe,MI-MD,Concentrated dependency,440,1404,True,0.0
validation,A,severe,MI-MD,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,54,1404,True,0.0
validation,A,severe,MI-MD,Concentrated dependency; Propagation-amplified cascade,100,1404,True,0.0
validation,A,severe,MI-MD,Hidden convergent dependency; Compounding moderate disturbance,24,1404,True,0.0
validation,A,severe,MI-MD,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,22,1404,False,0.01566951566951567
validation,A,severe,MI-MD,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,34,1404,False,0.024216524216524215
validation,A,severe,MI-MD,Compounding moderate disturbance; Recovery lag and temporal overlap,20,1404,False,0.014245014245014245
validation,A,severe,MI-MD,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,3,1404,False,0.002136752136752137
validation,A,severe,MI-MD,Compounding moderate disturbance,51,1404,False,0.03632478632478633
validation,A,severe,MI-MD,Compounding moderate disturbance; Propagation-amplified cascade,9,1404,False,0.00641025641025641
validation,A,severe,MI-MD,Concentrated dependency; Recovery lag and temporal overlap,42,1404,False,0.029914529914529916
validation,A,severe,MI-MD,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,22,1404,True,0.0
validation,A,severe,MI-MD,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,10,1404,False,0.007122507122507123
validation,A,severe,MI-MDA,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,62,1404,True,0.0
validation,A,severe,MI-MDA,Concentrated dependency; Hidden convergent dependency,24,1404,False,0.017094017094017096
validation,A,severe,MI-MDA,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,487,1404,True,0.0
validation,A,severe,MI-MDA,Concentrated dependency,440,1404,True,0.0
validation,A,severe,MI-MDA,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,54,1404,True,0.0
validation,A,severe,MI-MDA,Concentrated dependency; Propagation-amplified cascade,100,1404,True,0.0
validation,A,severe,MI-MDA,Hidden convergent dependency; Compounding moderate disturbance,24,1404,True,0.0
validation,A,severe,MI-MDA,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,22,1404,False,0.01566951566951567
validation,A,severe,MI-MDA,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,34,1404,False,0.024216524216524215
validation,A,severe,MI-MDA,Compounding moderate disturbance; Recovery lag and temporal overlap,20,1404,False,0.014245014245014245
validation,A,severe,MI-MDA,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,3,1404,False,0.002136752136752137
validation,A,severe,MI-MDA,Compounding moderate disturbance,51,1404,True,0.0
validation,A,severe,MI-MDA,Compounding moderate disturbance; Propagation-amplified cascade,9,1404,False,0.00641025641025641
validation,A,severe,MI-MDA,Concentrated dependency; Recovery lag and temporal overlap,42,1404,False,0.029914529914529916
validation,A,severe,MI-MDA,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,22,1404,True,0.0
validation,A,severe,MI-MDA,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,10,1404,False,0.007122507122507123
archived,B,moderate,FST-original,Compounding moderate disturbance,88,2133,True,0.0
archived,B,moderate,FST-original,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,13,2133,False,0.006094702297233943
archived,B,moderate,FST-original,Concentrated dependency,1097,2133,True,0.0
archived,B,moderate,FST-original,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,40,2133,False,0.01875293014533521
archived,B,moderate,FST-original,Concentrated dependency; Recovery lag and temporal overlap,94,2133,False,0.04406938584153774
archived,B,moderate,FST-original,Concentrated dependency; Propagation-amplified cascade,253,2133,False,0.1186122831692452
archived,B,moderate,FST-original,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,353,2133,True,0.0
archived,B,moderate,FST-original,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,13,2133,False,0.006094702297233943
archived,B,moderate,FST-original,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,21,2133,False,0.009845288326300985
archived,B,moderate,FST-original,Compounding moderate disturbance; Recovery lag and temporal overlap,47,2133,False,0.02203469292076887
archived,B,moderate,FST-original,Concentrated dependency; Hidden convergent dependency,54,2133,True,0.0
archived,B,moderate,FST-original,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,6,2133,False,0.0028129395218002813
archived,B,moderate,FST-original,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,9,2133,False,0.004219409282700422
archived,B,moderate,FST-original,Hidden convergent dependency; Compounding moderate disturbance,23,2133,False,0.010782934833567745
archived,B,moderate,FST-original,Compounding moderate disturbance; Propagation-amplified cascade,7,2133,False,0.0032817627754336614
archived,B,moderate,FST-original,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,15,2133,False,0.007032348804500703
archived,B,moderate,MI-FST,Compounding moderate disturbance,88,2133,False,0.04125644631973746
archived,B,moderate,MI-FST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,13,2133,False,0.006094702297233943
archived,B,moderate,MI-FST,Concentrated dependency,1097,2133,True,0.0
archived,B,moderate,MI-FST,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,40,2133,True,0.0
archived,B,moderate,MI-FST,Concentrated dependency; Recovery lag and temporal overlap,94,2133,False,0.04406938584153774
archived,B,moderate,MI-FST,Concentrated dependency; Propagation-amplified cascade,253,2133,True,0.0
archived,B,moderate,MI-FST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,353,2133,True,0.0
archived,B,moderate,MI-FST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,13,2133,False,0.006094702297233943
archived,B,moderate,MI-FST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,21,2133,True,0.0
archived,B,moderate,MI-FST,Compounding moderate disturbance; Recovery lag and temporal overlap,47,2133,False,0.02203469292076887
archived,B,moderate,MI-FST,Concentrated dependency; Hidden convergent dependency,54,2133,True,0.0
archived,B,moderate,MI-FST,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,6,2133,False,0.0028129395218002813
archived,B,moderate,MI-FST,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,9,2133,False,0.004219409282700422
archived,B,moderate,MI-FST,Hidden convergent dependency; Compounding moderate disturbance,23,2133,False,0.010782934833567745
archived,B,moderate,MI-FST,Compounding moderate disturbance; Propagation-amplified cascade,7,2133,False,0.0032817627754336614
archived,B,moderate,MI-FST,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,15,2133,False,0.007032348804500703
archived,B,moderate,RST,Compounding moderate disturbance,88,2133,True,0.0
archived,B,moderate,RST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,13,2133,False,0.006094702297233943
archived,B,moderate,RST,Concentrated dependency,1097,2133,True,0.0
archived,B,moderate,RST,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,40,2133,True,0.0
archived,B,moderate,RST,Concentrated dependency; Recovery lag and temporal overlap,94,2133,False,0.04406938584153774
archived,B,moderate,RST,Concentrated dependency; Propagation-amplified cascade,253,2133,True,0.0
archived,B,moderate,RST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,353,2133,True,0.0
archived,B,moderate,RST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,13,2133,True,0.0
archived,B,moderate,RST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,21,2133,True,0.0
