cohort,topology,threshold,method,signature,failure_frequency,total_failures,covered,uncovered_fraction
archived,A,moderate,MI-C,Concentrated dependency,1075,2455,True,0.0
archived,A,moderate,MI-C,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,27,2455,False,0.010997963340122199
archived,A,moderate,MI-C,Concentrated dependency; Recovery lag and temporal overlap,86,2455,False,0.03503054989816701
archived,A,moderate,MI-C,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,670,2455,True,0.0
archived,A,moderate,MI-C,Concentrated dependency; Propagation-amplified cascade,179,2455,True,0.0
archived,A,moderate,MI-C,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,19,2455,False,0.007739307535641548
archived,A,moderate,MI-C,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,25,2455,False,0.010183299389002037
archived,A,moderate,MI-C,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,2,2455,False,0.000814663951120163
archived,A,moderate,MI-C,Compounding moderate disturbance; Recovery lag and temporal overlap,36,2455,False,0.014663951120162933
archived,A,moderate,MI-C,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,19,2455,False,0.007739307535641548
archived,A,moderate,MI-C,Hidden convergent dependency; Compounding moderate disturbance,40,2455,False,0.016293279022403257
archived,A,moderate,MI-C,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,26,2455,False,0.010590631364562118
archived,A,moderate,MI-M,Compounding moderate disturbance,82,2455,False,0.03340122199592668
archived,A,moderate,MI-M,Concentrated dependency; Hidden convergent dependency,121,2455,True,0.0
archived,A,moderate,MI-M,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,48,2455,True,0.0
archived,A,moderate,MI-M,Concentrated dependency,1075,2455,True,0.0
archived,A,moderate,MI-M,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,27,2455,False,0.010997963340122199
archived,A,moderate,MI-M,Concentrated dependency; Recovery lag and temporal overlap,86,2455,False,0.03503054989816701
archived,A,moderate,MI-M,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,670,2455,True,0.0
archived,A,moderate,MI-M,Concentrated dependency; Propagation-amplified cascade,179,2455,True,0.0
archived,A,moderate,MI-M,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,19,2455,False,0.007739307535641548
archived,A,moderate,MI-M,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,25,2455,False,0.010183299389002037
archived,A,moderate,MI-M,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,2,2455,False,0.000814663951120163
archived,A,moderate,MI-M,Compounding moderate disturbance; Recovery lag and temporal overlap,36,2455,False,0.014663951120162933
archived,A,moderate,MI-M,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,19,2455,False,0.007739307535641548
archived,A,moderate,MI-M,Hidden convergent dependency; Compounding moderate disturbance,40,2455,True,0.0
archived,A,moderate,MI-M,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,26,2455,False,0.010590631364562118
archived,A,moderate,MI-MD,Compounding moderate disturbance,82,2455,False,0.03340122199592668
archived,A,moderate,MI-MD,Concentrated dependency; Hidden convergent dependency,121,2455,True,0.0
archived,A,moderate,MI-MD,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,48,2455,True,0.0
archived,A,moderate,MI-MD,Concentrated dependency,1075,2455,True,0.0
archived,A,moderate,MI-MD,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,27,2455,False,0.010997963340122199
archived,A,moderate,MI-MD,Concentrated dependency; Recovery lag and temporal overlap,86,2455,False,0.03503054989816701
archived,A,moderate,MI-MD,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,670,2455,True,0.0
archived,A,moderate,MI-MD,Concentrated dependency; Propagation-amplified cascade,179,2455,True,0.0
archived,A,moderate,MI-MD,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,19,2455,False,0.007739307535641548
archived,A,moderate,MI-MD,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,25,2455,False,0.010183299389002037
archived,A,moderate,MI-MD,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,2,2455,False,0.000814663951120163
archived,A,moderate,MI-MD,Compounding moderate disturbance; Recovery lag and temporal overlap,36,2455,False,0.014663951120162933
archived,A,moderate,MI-MD,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,19,2455,False,0.007739307535641548
archived,A,moderate,MI-MD,Hidden convergent dependency; Compounding moderate disturbance,40,2455,True,0.0
archived,A,moderate,MI-MD,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,26,2455,False,0.010590631364562118
archived,A,moderate,MI-MDA,Compounding moderate disturbance,82,2455,True,0.0
archived,A,moderate,MI-MDA,Concentrated dependency; Hidden convergent dependency,121,2455,True,0.0
archived,A,moderate,MI-MDA,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,48,2455,True,0.0
archived,A,moderate,MI-MDA,Concentrated dependency,1075,2455,True,0.0
archived,A,moderate,MI-MDA,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,27,2455,False,0.010997963340122199
archived,A,moderate,MI-MDA,Concentrated dependency; Recovery lag and temporal overlap,86,2455,False,0.03503054989816701
archived,A,moderate,MI-MDA,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,670,2455,True,0.0
archived,A,moderate,MI-MDA,Concentrated dependency; Propagation-amplified cascade,179,2455,True,0.0
archived,A,moderate,MI-MDA,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,19,2455,False,0.007739307535641548
archived,A,moderate,MI-MDA,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,25,2455,False,0.010183299389002037
archived,A,moderate,MI-MDA,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,2,2455,False,0.000814663951120163
archived,A,moderate,MI-MDA,Compounding moderate disturbance; Recovery lag and temporal overlap,36,2455,False,0.014663951120162933
archived,A,moderate,MI-MDA,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,19,2455,False,0.007739307535641548
archived,A,moderate,MI-MDA,Hidden convergent dependency; Compounding moderate disturbance,40,2455,True,0.0
archived,A,moderate,MI-MDA,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,26,2455,False,0.010590631364562118
archived,A,severe,FST-original,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,17,1445,False,0.011764705882352941
archived,A,severe,FST-original,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,486,1445,True,0.0
archived,A,severe,FST-original,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,53,1445,False,0.03667820069204152
archived,A,severe,FST-original,Compounding moderate disturbance,52,1445,False,0.035986159169550176
archived,A,severe,FST-original,Concentrated dependency,472,1445,True,0.0
archived,A,severe,FST-original,Concentrated dependency; Propagation-amplified cascade,116,1445,False,0.08027681660899653
archived,A,severe,FST-original,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,25,1445,False,0.01730103806228374
archived,A,severe,FST-original,Concentrated dependency; Recovery lag and temporal overlap,39,1445,False,0.02698961937716263
archived,A,severe,FST-original,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,61,1445,False,0.04221453287197232
archived,A,severe,FST-original,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,40,1445,False,0.02768166089965398
archived,A,severe,FST-original,Hidden convergent dependency; Compounding moderate disturbance,19,1445,False,0.01314878892733564
archived,A,severe,FST-original,Concentrated dependency; Hidden convergent dependency,36,1445,True,0.0
archived,A,severe,FST-original,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,6,1445,False,0.004152249134948097
archived,A,severe,FST-original,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,8,1445,False,0.005536332179930796
archived,A,severe,FST-original,Compounding moderate disturbance; Recovery lag and temporal overlap,14,1445,False,0.009688581314878892
archived,A,severe,FST-original,Compounding moderate disturbance; Propagation-amplified cascade,1,1445,False,0.0006920415224913495
archived,A,severe,MI-FST,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,17,1445,False,0.011764705882352941
archived,A,severe,MI-FST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,486,1445,True,0.0
archived,A,severe,MI-FST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,53,1445,True,0.0
archived,A,severe,MI-FST,Compounding moderate disturbance,52,1445,False,0.035986159169550176
archived,A,severe,MI-FST,Concentrated dependency,472,1445,True,0.0
archived,A,severe,MI-FST,Concentrated dependency; Propagation-amplified cascade,116,1445,True,0.0
archived,A,severe,MI-FST,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,25,1445,True,0.0
archived,A,severe,MI-FST,Concentrated dependency; Recovery lag and temporal overlap,39,1445,False,0.02698961937716263
archived,A,severe,MI-FST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,61,1445,False,0.04221453287197232
archived,A,severe,MI-FST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,40,1445,False,0.02768166089965398
archived,A,severe,MI-FST,Hidden convergent dependency; Compounding moderate disturbance,19,1445,False,0.01314878892733564
archived,A,severe,MI-FST,Concentrated dependency; Hidden convergent dependency,36,1445,True,0.0
archived,A,severe,MI-FST,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,6,1445,False,0.004152249134948097
archived,A,severe,MI-FST,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,8,1445,False,0.005536332179930796
archived,A,severe,MI-FST,Compounding moderate disturbance; Recovery lag and temporal overlap,14,1445,False,0.009688581314878892
archived,A,severe,MI-FST,Compounding moderate disturbance; Propagation-amplified cascade,1,1445,False,0.0006920415224913495
archived,A,severe,RST,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,17,1445,False,0.011764705882352941
archived,A,severe,RST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,486,1445,True,0.0
archived,A,severe,RST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,53,1445,True,0.0
archived,A,severe,RST,Compounding moderate disturbance,52,1445,True,0.0
archived,A,severe,RST,Concentrated dependency,472,1445,True,0.0
archived,A,severe,RST,Concentrated dependency; Propagation-amplified cascade,116,1445,True,0.0
archived,A,severe,RST,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,25,1445,True,0.0
archived,A,severe,RST,Concentrated dependency; Recovery lag and temporal overlap,39,1445,False,0.02698961937716263
archived,A,severe,RST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,61,1445,True,0.0
archived,A,severe,RST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,40,1445,False,0.02768166089965398
archived,A,severe,RST,Hidden convergent dependency; Compounding moderate disturbance,19,1445,True,0.0
archived,A,severe,RST,Concentrated dependency; Hidden convergent dependency,36,1445,False,0.02491349480968858
archived,A,severe,RST,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,6,1445,False,0.004152249134948097
archived,A,severe,RST,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,8,1445,False,0.005536332179930796
archived,A,severe,RST,Compounding moderate disturbance; Recovery lag and temporal overlap,14,1445,False,0.009688581314878892
archived,A,severe,RST,Compounding moderate disturbance; Propagation-amplified cascade,1,1445,False,0.0006920415224913495
archived,A,severe,MI-C,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,17,1445,False,0.011764705882352941
archived,A,severe,MI-C,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,486,1445,True,0.0
archived,A,severe,MI-C,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,53,1445,True,0.0
archived,A,severe,MI-C,Compounding moderate disturbance,52,1445,False,0.035986159169550176
archived,A,severe,MI-C,Concentrated dependency,472,1445,True,0.0
archived,A,severe,MI-C,Concentrated dependency; Propagation-amplified cascade,116,1445,True,0.0
archived,A,severe,MI-C,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,25,1445,True,0.0
archived,A,severe,MI-C,Concentrated dependency; Recovery lag and temporal overlap,39,1445,False,0.02698961937716263
archived,A,severe,MI-C,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,61,1445,False,0.04221453287197232
archived,A,severe,MI-C,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,40,1445,False,0.02768166089965398
archived,A,severe,MI-C,Hidden convergent dependency; Compounding moderate disturbance,19,1445,False,0.01314878892733564
archived,A,severe,MI-C,Concentrated dependency; Hidden convergent dependency,36,1445,True,0.0
archived,A,severe,MI-C,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,6,1445,False,0.004152249134948097
archived,A,severe,MI-C,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,8,1445,False,0.005536332179930796
archived,A,severe,MI-C,Compounding moderate disturbance; Recovery lag and temporal overlap,14,1445,False,0.009688581314878892
archived,A,severe,MI-C,Compounding moderate disturbance; Propagation-amplified cascade,1,1445,False,0.0006920415224913495
archived,A,severe,MI-M,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,17,1445,False,0.011764705882352941
archived,A,severe,MI-M,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,486,1445,True,0.0
archived,A,severe,MI-M,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,53,1445,True,0.0
archived,A,severe,MI-M,Compounding moderate disturbance,52,1445,False,0.035986159169550176
archived,A,severe,MI-M,Concentrated dependency,472,1445,True,0.0
archived,A,severe,MI-M,Concentrated dependency; Propagation-amplified cascade,116,1445,True,0.0
archived,A,severe,MI-M,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,25,1445,True,0.0
