cohort,topology,threshold,method,seed,numerator,denominator,coverage
validation,B,severe,FST-original,7002,113,190,0.5947368421052631
validation,B,severe,FST-original,7003,116,194,0.5979381443298969
validation,B,severe,FST-original,7004,96,171,0.5614035087719298
validation,B,severe,FST-original,7005,106,176,0.6022727272727273
validation,B,severe,MI-FST,7001,159,200,0.795
validation,B,severe,MI-FST,7002,148,190,0.7789473684210526
validation,B,severe,MI-FST,7003,158,194,0.8144329896907216
validation,B,severe,MI-FST,7004,133,171,0.7777777777777778
validation,B,severe,MI-FST,7005,144,176,0.8181818181818182
validation,B,severe,RST,7001,165,200,0.825
validation,B,severe,RST,7002,157,190,0.8263157894736842
validation,B,severe,RST,7003,166,194,0.8556701030927835
validation,B,severe,RST,7004,136,171,0.7953216374269005
validation,B,severe,RST,7005,150,176,0.8522727272727273
validation,B,severe,MI-C,7001,159,200,0.795
validation,B,severe,MI-C,7002,148,190,0.7789473684210526
validation,B,severe,MI-C,7003,158,194,0.8144329896907216
validation,B,severe,MI-C,7004,133,171,0.7777777777777778
validation,B,severe,MI-C,7005,144,176,0.8181818181818182
validation,B,severe,MI-M,7001,150,200,0.75
validation,B,severe,MI-M,7002,134,190,0.7052631578947368
validation,B,severe,MI-M,7003,145,194,0.7474226804123711
validation,B,severe,MI-M,7004,125,171,0.7309941520467836
validation,B,severe,MI-M,7005,131,176,0.7443181818181818
validation,B,severe,MI-MD,7001,150,200,0.75
validation,B,severe,MI-MD,7002,134,190,0.7052631578947368
validation,B,severe,MI-MD,7003,145,194,0.7474226804123711
validation,B,severe,MI-MD,7004,125,171,0.7309941520467836
validation,B,severe,MI-MD,7005,131,176,0.7443181818181818
validation,B,severe,MI-MDA,7001,161,200,0.805
validation,B,severe,MI-MDA,7002,147,190,0.7736842105263158
validation,B,severe,MI-MDA,7003,155,194,0.7989690721649485
validation,B,severe,MI-MDA,7004,133,171,0.7777777777777778
validation,B,severe,MI-MDA,7005,142,176,0.8068181818181818
