method,alpha,duration,candidate_count,threshold_crossings,full_signatures,full_signature_count
RST,0.9,3,50,44,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance,8
RST,0.9,4,50,38,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance,7
RST,0.85,1,50,42,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,5
RST,0.85,2,50,42,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,9
RST,0.85,3,50,39,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,8
RST,0.85,4,50,34,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,6
RST,0.8,1,50,40,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,6
RST,0.8,2,50,38,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,7
RST,0.8,3,50,36,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,7
RST,0.8,4,50,28,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,4
MI-C,0.9,1,50,47,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade,4
MI-C,0.9,2,50,45,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade,5
