topology,seed,replication,dependence_model,moderate_passive_failure,moderate_active_failure,severe_passive_failure,passive_active_classification,mechanism_labels,primary_mechanism,event_count,worst_service_level,max_backlog_passive,has_T2P,has_corridor,has_S1A,has_S1B,has_S1C,event_specification
B,42,177,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,3,0.90874355623471,175.92908808578682,False,True,False,False,True,"[{""target"":""S1C"",""magnitude"":0.19061693019448905,""start_week"":20,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.31844233282396744,""start_week"":35,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""S1C"",""magnitude"":0.41605338891859733,""start_week"":37,""duration_weeks"":4,""recovery_weeks"":1}]"
B,42,178,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,6,0.8950758155918367,105.50141599447352,True,True,False,True,False,"[{""target"":""demand"",""magnitude"":0.11722379554941476,""start_week"":2,""duration_weeks"":2,""recovery_weeks"":1},{""target"":""S1B"",""magnitude"":0.19851583110687157,""start_week"":31,""duration_weeks"":2,""recovery_weeks"":1},{""target"":""T2P-B"",""magnitude"":0.4319740106859905,""start_week"":32,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.227907077877524,""start_week"":34,""duration_weeks"":1,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.23511734240646806,""start_week"":38,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.16825649425195066,""start_week"":51,""duration_weeks"":1,""recovery_weeks"":1}]"
B,42,179,Independent baseline,True,True,False,Structural,Concentrated dependency,Concentrated dependency,4,0.8806355695894037,336.7938515710355,False,True,False,True,False,"[{""target"":""demand"",""magnitude"":0.13554350350196498,""start_week"":9,""duration_weeks"":7,""recovery_weeks"":1},{""target"":""S1B"",""magnitude"":0.1811065183287298,""start_week"":24,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.3268134377261479,""start_week"":36,""duration_weeks"":4,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.20322442397393875,""start_week"":49,""duration_weeks"":1,""recovery_weeks"":4}]"
B,42,180,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,3,0.8212311853460204,310.1879361183155,False,False,False,True,False,"[{""target"":""demand"",""magnitude"":0.21768390904280677,""start_week"":4,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.23658334580186396,""start_week"":19,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""S1B"",""magnitude"":0.36107377970336774,""start_week"":36,""duration_weeks"":2,""recovery_weeks"":4}]"
B,42,181,Independent baseline,True,True,True,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,Hidden convergent dependency,3,0.7651235310250408,2765.2759858060317,True,True,False,True,False,"[{""target"":""S1B"",""magnitude"":0.3095827183012312,""start_week"":17,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""T2P-A"",""magnitude"":0.33948966509175693,""start_week"":21,""duration_weeks"":8,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.4261573517312194,""start_week"":37,""duration_weeks"":10,""recovery_weeks"":4}]"
B,42,182,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,3,0.9359479168707887,73.89778296036093,True,False,False,False,True,"[{""target"":""T2P-A"",""magnitude"":0.23485927836644316,""start_week"":14,""duration_weeks"":3,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.06843552079624302,""start_week"":21,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""S1C"",""magnitude"":0.3256847135053146,""start_week"":45,""duration_weeks"":1,""recovery_weeks"":2}]"
B,42,183,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,1,0.8578286327220422,149.1605964983246,False,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.16573399610924974,""start_week"":1,""duration_weeks"":5,""recovery_weeks"":1}]"
B,42,184,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,1,0.8831287063244325,119.10400324974785,False,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.13233778138860863,""start_week"":19,""duration_weeks"":2,""recovery_weeks"":3}]"
B,42,185,Independent baseline,True,True,False,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,2,0.7911950031297291,524.5281073952742,True,False,False,False,False,"[{""target"":""T2P-A"",""magnitude"":0.38188674577486575,""start_week"":6,""duration_weeks"":4,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.09635369000430856,""start_week"":35,""duration_weeks"":6,""recovery_weeks"":3}]"
B,42,186,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,8,0.8474102756113232,183.60119742363258,False,True,True,True,False,"[{""target"":""demand"",""magnitude"":0.18006593592294856,""start_week"":2,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.12336086342870789,""start_week"":6,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.19628837356571582,""start_week"":12,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.21743798991587907,""start_week"":14,""duration_weeks"":1,""recovery_weeks"":2},{""target"":""S1A"",""magnitude"":0.4334297545902783,""start_week"":28,""duration_weeks"":3,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.2703381990241831,""start_week"":32,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""S1B"",""magnitude"":0.28980915588848755,""start_week"":38,""duration_weeks"":22,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.10150106137135381,""start_week"":51,""duration_weeks"":4,""recovery_weeks"":4}]"
