topology,seed,replication,dependence_model,moderate_passive_failure,moderate_active_failure,severe_passive_failure,passive_active_classification,mechanism_labels,primary_mechanism,event_count,worst_service_level,max_backlog_passive,has_T2P,has_corridor,has_S1A,has_S1B,has_S1C,event_specification
A,2026,1,Supplier-cluster shock,True,True,False,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,2,0.7963567209348931,499.6737069515772,True,True,False,False,False,"[{""target"":""T2P"",""magnitude"":0.28327895115859625,""start_week"":9,""duration_weeks"":5,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.2610011335654354,""start_week"":41,""duration_weeks"":10,""recovery_weeks"":4}]"
A,2026,2,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,2,1.0,0.0,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.2023995480738911,""start_week"":37,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.16631062210480793,""start_week"":43,""duration_weeks"":3,""recovery_weeks"":2}]"
A,2026,3,Supplier-cluster shock,True,True,False,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,2,0.8050928577192138,354.3336636838576,True,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.0973634348270472,""start_week"":13,""duration_weeks"":3,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.3031337885049201,""start_week"":17,""duration_weeks"":3,""recovery_weeks"":4}]"
A,2026,4,Supplier-cluster shock,True,True,True,Structural,Concentrated dependency; Hidden convergent dependency,Hidden convergent dependency,4,0.5429176148494665,3400.107543806972,True,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.12079909147372199,""start_week"":22,""duration_weeks"":5,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.4724284329285964,""start_week"":29,""duration_weeks"":4,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.4459351493524164,""start_week"":36,""duration_weeks"":4,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.10671708771984226,""start_week"":49,""duration_weeks"":1,""recovery_weeks"":3}]"
A,2026,5,Supplier-cluster shock,True,False,True,Adaptation-limited,Concentrated dependency; Propagation-amplified cascade,Propagation-amplified cascade,3,0.7301706450012981,721.0846184402976,True,True,False,False,False,"[{""target"":""T2P"",""magnitude"":0.4517952459403757,""start_week"":15,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.45237201624902634,""start_week"":19,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.40469381115430825,""start_week"":25,""duration_weeks"":2,""recovery_weeks"":4}]"
A,2026,6,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,2,1.0,0.0,True,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.21383377950505042,""start_week"":12,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.2551646779525837,""start_week"":40,""duration_weeks"":1,""recovery_weeks"":1}]"
A,2026,7,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,0,1.0,0.0,False,False,False,False,False,[]
A,2026,8,Supplier-cluster shock,True,True,False,Structural,Concentrated dependency,Concentrated dependency,4,0.8611523227875639,481.7184493965226,False,False,True,True,True,"[{""target"":""S1C"",""magnitude"":0.5529863526374228,""start_week"":1,""duration_weeks"":11,""recovery_weeks"":1},{""target"":""S1A"",""magnitude"":0.3824679286727683,""start_week"":9,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""S1B"",""magnitude"":0.5260147436744468,""start_week"":40,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.22625375119126928,""start_week"":46,""duration_weeks"":1,""recovery_weeks"":1}]"
A,2026,9,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,6,0.9194025927636544,165.4642277337157,True,False,True,True,True,"[{""target"":""T2P"",""magnitude"":0.23138019039115187,""start_week"":6,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.08766280177008834,""start_week"":16,""duration_weeks"":4,""recovery_weeks"":2},{""target"":""S1B"",""magnitude"":0.320065018339773,""start_week"":18,""duration_weeks"":7,""recovery_weeks"":4},{""target"":""S1C"",""magnitude"":0.3220104608262987,""start_week"":20,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""S1A"",""magnitude"":0.3665052123637166,""start_week"":38,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.13180780071303316,""start_week"":44,""duration_weeks"":3,""recovery_weeks"":2}]"
A,2026,10,Supplier-cluster shock,True,False,True,Adaptation-limited,Concentrated dependency,Concentrated dependency,2,0.7861652159222027,1347.1591396901226,False,True,True,False,False,"[{""target"":""corridor"",""magnitude"":0.410376088058348,""start_week"":2,""duration_weeks"":6,""recovery_weeks"":1},{""target"":""S1A"",""magnitude"":0.21701860260066566,""start_week"":20,""duration_weeks"":1,""recovery_weeks"":3}]"
