execution_id,request_id,method,candidate_id,threshold,purpose,active,direct_impact,event_indices,event_specification,elapsed_seconds,topology
98,206,MI-C,FST-MI-36,moderate,direct_impact,False,True,0;1,"[{""target"":""T2P"",""magnitude"":0.6,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]",0.006806199962738901,A
99,211,MI-C,FST-MI-37,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]",0.006429300003219396,A
100,212,MI-C,FST-MI-37,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]",0.004884399997536093,A
101,214,MI-C,FST-MI-37,moderate,singleton,False,False,1,"[{""target"":""demand"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]",0.00476189999608323,A
102,216,MI-C,FST-MI-37,moderate,direct_impact,False,True,0;1,"[{""target"":""T2P"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]",0.0037540000048466027,A
103,221,MI-C,FST-MI-38,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]",0.004238600027747452,A
104,222,MI-C,FST-MI-38,all,candidate_active,True,False,,"[{""target"":""T2P"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]",0.006739199976436794,A
105,224,MI-C,FST-MI-38,moderate,singleton,False,False,1,"[{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]",0.005431699973996729,A
106,226,MI-C,FST-MI-38,moderate,direct_impact,False,True,0;1,"[{""target"":""T2P"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]",0.0084021000075154,A
107,231,MI-C,FST-MI-39,all,candidate_passive,False,False,,"[{""target"":""T2P"",""magnitude"":0.6,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]",0.007072900014463812,A
