architecture,n,horizon,K,B,repetition,status,completed_candidates,failures,prefix_event_count,attribution_pair_iterations,passive_seconds,active_seconds,attribution_seconds,end_to_end_seconds,requested_simulations,unique_simulations,cache_hits,baseline_memory_mb,peak_memory_mb,incremental_peak_memory_mb,memory_measurement,node_count,edge_count
shared,30,52,4,100,3,completed,100,100,400,1200,3.439172000216786,3.4170995001331903,10.196446199726779,17.33601670002099,1200,503,697,946.27734375,946.27734375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,100,4,completed,100,100,400,1200,3.499918000015896,3.3758000000962056,10.083718099689577,17.239213399996515,1200,503,697,946.27734375,946.27734375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,100,5,completed,100,100,400,1200,3.499781799968332,3.430138400348369,10.173122300358955,17.393252500041854,1200,503,697,946.27734375,946.27734375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,200,1,completed,200,200,800,2400,6.7994652997585945,6.95519589970354,20.104563900269568,34.42612499999814,2400,1003,1397,946.27734375,946.27734375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,200,2,completed,200,200,800,2400,6.9816635002498515,6.9296770001528785,20.513127300073393,35.00264739996055,2400,1003,1397,946.27734375,946.27734375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,200,3,completed,200,200,800,2400,6.8170492998324335,6.7089994993875735,20.082356399914715,34.17809950001538,2400,1003,1397,946.2734375,946.2734375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,200,4,completed,200,200,800,2400,6.6873506002593786,6.778031800233293,19.80321150016971,33.846765899972524,2400,1003,1397,946.2734375,946.2734375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,200,5,completed,200,200,800,2400,6.900599800166674,6.79540540050948,20.26064260007115,34.53432450001128,2400,1003,1397,946.2734375,946.2734375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,500,1,completed,500,500,2000,6000,16.96677939966321,17.17255610023858,50.461890100559685,86.09048439998878,6000,2503,3497,946.2734375,946.27734375,0.00390625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,500,2,completed,500,500,2000,6000,17.110382500453852,17.235358200210612,50.585428699909244,86.33647330000531,6000,2503,3497,946.26953125,946.26953125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,500,3,completed,500,500,2000,6000,16.86273869953584,17.020297800423577,49.8245927990647,85.09551389998524,6000,2503,3497,946.26953125,946.26953125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,500,4,completed,500,500,2000,6000,17.44541980046779,17.430697400006466,50.93128239939688,87.21823340002447,6000,2503,3497,946.265625,946.265625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,500,5,completed,500,500,2000,6000,18.28424900036771,18.335317499761004,53.15387200115947,91.29185539996251,6000,2503,3497,946.265625,946.265625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,8,50,1,completed,50,50,400,2800,1.8031210000626743,1.9080901000415906,5.722422400081996,9.57460589997936,1400,253,1147,946.26953125,946.28515625,0.015625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,8,50,2,completed,50,50,400,2800,1.881193400011398,1.8468888999777846,5.5539217999903485,9.427820200042333,1400,253,1147,946.28515625,946.28515625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,8,50,3,completed,50,50,400,2800,1.8614031001343392,1.9225146001554094,5.586694999947213,9.50425220001489,1400,253,1147,946.28515625,946.28515625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,8,50,4,completed,50,50,400,2800,1.886252099997364,1.9131107002613135,5.358318500162568,9.300324699957855,1400,253,1147,946.28515625,946.28515625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,8,50,5,completed,50,50,400,2800,1.831257299752906,1.8701012001256458,5.670858999830671,9.515736299974378,1400,253,1147,946.28125,946.28125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,16,50,1,completed,50,50,800,12000,2.24694450001698,2.3618159000761807,7.285433899902273,12.045616999967024,4200,253,3947,946.28515625,949.91015625,3.625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,16,50,2,completed,50,50,800,12000,2.316221100219991,2.2798290999489836,7.248403599951416,11.992843300045934,4200,253,3947,949.91015625,950.671875,0.76171875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,16,50,3,completed,50,50,800,12000,2.22520389984129,2.2165737997856922,7.136781200184487,11.724064600013662,4200,253,3947,950.671875,950.67578125,0.00390625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,16,50,4,completed,50,50,800,12000,2.2331875998643227,2.385142399754841,7.180528199940454,11.943932999973185,4200,253,3947,950.671875,950.69140625,0.01953125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,16,50,5,completed,50,50,800,12000,2.274433199840132,2.2430195997585543,7.069847899780143,11.733751500025392,4200,253,3947,950.69140625,950.875,0.18359375,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,104,4,50,1,completed,50,50,200,600,3.2850916000897996,3.464520100154914,10.130916799942497,17.026682500028983,600,253,347,950.875,954.6796875,3.8046875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,104,4,50,2,completed,50,50,200,600,3.541821500111837,3.490655199799221,10.60571889980929,17.781578099995386,600,253,347,951.89453125,954.94921875,3.0546875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,104,4,50,3,completed,50,50,200,600,3.552842099859845,3.5094854999915697,10.257231999887154,17.46524099999806,600,253,347,952.671875,955.21875,2.546875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,104,4,50,4,completed,50,50,200,600,3.3235859000124037,3.254956400138326,9.946026600024197,16.664384300005622,600,253,347,950.4609375,954.27734375,3.81640625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
