cohort,topology,threshold,comparator,direction,signature,candidate_support_ids,support_method,monte_carlo_frequency,rst_numerator,comparator_numerator,paired_denominator,observed_delta_pp,per_seed_delta_mean_pp,per_seed_delta_sd_pp,delta_pp_lower_95,delta_pp_upper_95
validation,A,severe,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-23;RST-25;RST-36,RST,62.0,,,,,,,,
validation,A,severe,FST-original,lost,Concentrated dependency; Hidden convergent dependency,FST-48,FST-original,24.0,,,,,,,,
validation,A,severe,MI-FST,gained,Compounding moderate disturbance,RST-30,RST,51.0,,,,,,,,
validation,A,severe,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24;RST-26,RST,24.0,,,,,,,,
validation,A,severe,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-23;RST-25;RST-36,RST,62.0,,,,,,,,
validation,A,severe,MI-FST,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-37;FST-MI-38;FST-MI-39;FST-MI-40,MI-FST,24.0,,,,,,,,
validation,A,severe,MI-C,gained,Compounding moderate disturbance,RST-30,RST,51.0,,,,,,,,
validation,A,severe,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24;RST-26,RST,24.0,,,,,,,,
validation,A,severe,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-23;RST-25;RST-36,RST,62.0,,,,,,,,
validation,A,severe,MI-C,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-37;FST-MI-38;FST-MI-39;FST-MI-40,MI-C,24.0,,,,,,,,
validation,A,severe,MI-M,gained,Compounding moderate disturbance,RST-30,RST,51.0,,,,,,,,
validation,A,severe,MI-M,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-40,MI-M,24.0,,,,,,,,
validation,A,severe,MI-MD,gained,Compounding moderate disturbance,RST-30,RST,51.0,,,,,,,,
archived,B,moderate,FST-original,gained,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-46,RST,21.0,,,,,,,,
archived,B,moderate,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-20;RST-22;RST-42;RST-43;RST-44;RST-45,RST,253.0,,,,,,,,
archived,B,moderate,FST-original,gained,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-41,RST,40.0,,,,,,,,
archived,B,moderate,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24,RST,23.0,,,,,,,,
archived,B,moderate,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-29,RST,13.0,,,,,,,,
