topology,reference_id,reference_family,threshold,passive_failure,first_cross_week,mechanism_signature,unclassified,event_specification,canonical_event_key
A,REF-A-S-0009,single event,severe,True,19.0,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,False,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]"
A,REF-A-S-0010,single event,moderate,False,,Unclassified,False,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]"
A,REF-A-S-0010,single event,severe,False,,Unclassified,False,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]"
A,REF-A-S-0011,single event,moderate,False,,Unclassified,False,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]"
A,REF-A-S-0011,single event,severe,False,,Unclassified,False,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]"
A,REF-A-S-0012,single event,moderate,False,,Unclassified,False,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]"
A,REF-A-S-0012,single event,severe,False,,Unclassified,False,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]"
A,REF-A-S-0013,single event,moderate,False,,Unclassified,False,"[{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]"
A,REF-A-S-0013,single event,severe,False,,Unclassified,False,"[{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]"
A,REF-A-S-0014,single event,moderate,False,,Unclassified,False,"[{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]"
A,REF-A-S-0014,single event,severe,False,,Unclassified,False,"[{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]"
A,REF-A-S-0015,single event,moderate,False,,Unclassified,False,"[{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]"
A,REF-A-S-0015,single event,severe,False,,Unclassified,False,"[{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]"
A,REF-A-S-0016,single event,moderate,True,14.0,Concentrated dependency,False,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]"
A,REF-A-S-0016,single event,severe,False,,Unclassified,False,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]"
A,REF-A-S-0017,single event,moderate,True,14.0,Concentrated dependency,False,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]"
A,REF-A-S-0017,single event,severe,False,,Unclassified,False,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]"
A,REF-A-S-0018,single event,moderate,True,14.0,Concentrated dependency,False,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]"
A,REF-A-S-0018,single event,severe,False,,Unclassified,False,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]"
A,REF-A-S-0019,single event,moderate,False,,Unclassified,False,"[{""target"":""S1B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]"
A,REF-A-S-0019,single event,severe,False,,Unclassified,False,"[{""target"":""S1B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]"
A,REF-A-S-0020,single event,moderate,False,,Unclassified,False,"[{""target"":""S1B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]"
A,REF-A-S-0020,single event,severe,False,,Unclassified,False,"[{""target"":""S1B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]"
A,REF-A-S-0021,single event,moderate,False,,Unclassified,False,"[{""target"":""S1B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]"
A,REF-A-S-0021,single event,severe,False,,Unclassified,False,"[{""target"":""S1B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]"
A,REF-A-S-0022,single event,moderate,False,,Unclassified,False,"[{""target"":""S1B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]"
A,REF-A-S-0022,single event,severe,False,,Unclassified,False,"[{""target"":""S1B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]"
A,REF-A-S-0023,single event,moderate,False,,Unclassified,False,"[{""target"":""S1B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]"
A,REF-A-S-0023,single event,severe,False,,Unclassified,False,"[{""target"":""S1B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]"
A,REF-A-S-0024,single event,moderate,False,,Unclassified,False,"[{""target"":""S1B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]"
A,REF-A-S-0024,single event,severe,False,,Unclassified,False,"[{""target"":""S1B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]"
A,REF-A-S-0025,single event,moderate,True,14.0,Concentrated dependency,False,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]"
A,REF-A-S-0025,single event,severe,False,,Unclassified,False,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]"
A,REF-A-S-0026,single event,moderate,True,14.0,Concentrated dependency,False,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]"
A,REF-A-S-0026,single event,severe,False,,Unclassified,False,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]"
A,REF-A-S-0027,single event,moderate,True,14.0,Concentrated dependency,False,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]"
A,REF-A-S-0027,single event,severe,False,,Unclassified,False,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]"
A,REF-A-S-0028,single event,moderate,False,,Unclassified,False,"[{""target"":""S1C"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]"
A,REF-A-S-0028,single event,severe,False,,Unclassified,False,"[{""target"":""S1C"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]"
A,REF-A-S-0029,single event,moderate,False,,Unclassified,False,"[{""target"":""S1C"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]"
A,REF-A-S-0029,single event,severe,False,,Unclassified,False,"[{""target"":""S1C"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]"
A,REF-A-S-0030,single event,moderate,False,,Unclassified,False,"[{""target"":""S1C"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]"
A,REF-A-S-0030,single event,severe,False,,Unclassified,False,"[{""target"":""S1C"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]"
A,REF-A-S-0031,single event,moderate,False,,Unclassified,False,"[{""target"":""S1C"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]"
A,REF-A-S-0031,single event,severe,False,,Unclassified,False,"[{""target"":""S1C"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]"
A,REF-A-S-0032,single event,moderate,False,,Unclassified,False,"[{""target"":""S1C"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]"
A,REF-A-S-0032,single event,severe,False,,Unclassified,False,"[{""target"":""S1C"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]"
