architecture,n,horizon,K,B,repetition,status,completed_candidates,failures,prefix_event_count,attribution_pair_iterations,passive_seconds,active_seconds,attribution_seconds,end_to_end_seconds,requested_simulations,unique_simulations,cache_hits,baseline_memory_mb,peak_memory_mb,incremental_peak_memory_mb,memory_measurement,node_count,edge_count
partitioned,30,52,16,50,4,completed,50,50,800,12000,2.6677193001378328,2.6368554001674056,27.248790800047573,32.70157769997604,4550,609,3941,536.26953125,536.26953125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,16,50,5,completed,50,50,800,12000,3.1581493000267074,3.2817440003273077,34.64330199995311,41.253149900003336,4550,609,3941,536.26953125,536.26953125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,104,4,50,1,completed,50,50,200,600,5.654010499943979,5.540805799886584,22.16149090009276,33.53368000005139,650,303,347,536.328125,539.63671875,3.30859375,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,104,4,50,2,completed,50,50,200,600,4.137420499930158,4.144176700094249,16.21980880002957,24.670143000024837,650,303,347,530.62890625,539.37890625,8.75,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,104,4,50,3,completed,50,50,200,600,3.7914620997034945,3.9585774996085092,15.294822499970905,23.185123100003693,650,303,347,530.5,539.12890625,8.62890625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,104,4,50,4,completed,50,50,200,600,3.746418700146023,3.8333949003135785,14.927716500067618,22.637687899987213,650,303,347,530.73046875,538.078125,7.34765625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,104,4,50,5,completed,50,50,200,600,3.720187100174371,3.7300734001328237,14.910099999979138,22.504970099951606,650,303,347,523.77734375,532.90625,9.12890625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,208,4,50,1,completed,50,50,200,600,8.091212900180835,7.813039900269359,31.332672699936666,47.375969199987594,650,303,347,523.30859375,544.51953125,21.2109375,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,208,4,50,2,completed,50,50,200,600,7.368156499986071,7.348952700034715,29.569489400135353,44.42506029998185,650,303,347,524.6328125,544.66796875,20.03515625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,208,4,50,3,completed,50,50,200,600,7.483428800071124,7.50914830021793,29.361346400051843,44.48858199996175,650,303,347,525.38671875,544.6875,19.30078125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,208,4,50,4,completed,50,50,200,600,8.059478699869942,7.983538399857935,31.483246499905363,47.670541499974206,650,303,347,524.625,544.93359375,20.30859375,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,208,4,50,5,completed,50,50,200,600,7.388413400098216,7.5131974998512305,29.54788600001484,44.58352320000995,650,303,347,524.8984375,544.94921875,20.05078125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,90,52,4,50,1,completed,50,50,200,600,5.781952100165654,5.839407300110906,23.406123099965043,35.16009809996467,650,303,347,525.203125,525.328125,0.125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,122,181
partitioned,90,52,4,50,2,completed,50,50,200,600,5.713024900003802,5.7085264000925235,22.847787600185256,34.40336950001074,650,303,347,525.328125,525.328125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,122,181
partitioned,90,52,4,50,3,completed,50,50,200,600,5.646173899876885,5.805707999970764,23.30457179993391,34.89877210004488,650,303,347,519.62109375,519.62109375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,122,181
partitioned,90,52,4,50,4,completed,50,50,200,600,5.664991900091991,5.775626400136389,22.860393000068143,34.43251660000533,650,303,347,519.62109375,519.62109375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,122,181
partitioned,90,52,4,50,5,completed,50,50,200,600,5.8994935000664555,5.677120199834462,23.10906590014929,34.824571900011506,650,303,347,519.62109375,519.62109375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,122,181
partitioned,300,52,4,50,1,timeout,34,35,136,408,21.438946199952625,20.316308299836237,78.54163599992171,120.39440430002287,444,209,235,519.765625,520.12890625,0.36328125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,402,601
partitioned,300,52,4,50,2,timeout,37,37,148,444,19.958304999861866,20.18706249987008,80.63291310018394,120.87552130001131,481,225,256,520.12890625,520.140625,0.01171875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,402,601
partitioned,300,52,4,50,3,timeout,39,39,156,468,19.61610870040022,20.37055369996233,81.61019340006169,121.7029659000109,507,237,270,520.140625,520.14453125,0.00390625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,402,601
partitioned,300,52,4,50,4,timeout,39,39,156,468,20.35321899986593,20.035359999979846,81.189015999611,121.68714509997517,507,237,270,520.14453125,520.1484375,0.00390625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,402,601
partitioned,300,52,4,50,5,timeout,39,39,156,468,19.604939599812496,19.56626020022668,81.75025810004445,121.02406909997808,507,237,270,520.1484375,520.16015625,0.01171875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,402,601
