tau_B_over_D,tau_B_units,kappa_alt,rho_rel,passive_pathways,structural_pathways,adaptation_limited_pathways,runtime_seconds
0.1,90.0,200.0,0.3,48,34,14,1.230276899994351
0.17,153.0,200.0,0.3,48,41,7,1.1203624000190757
0.2,180.0,200.0,0.3,48,41,7,1.216965000028722
0.25,225.0,200.0,0.3,48,46,2,1.1743241000222042
0.17,153.0,0.0,0.3,48,43,5,1.3962854000274092
0.17,153.0,500.0,0.3,48,39,9,1.122475599986501
0.17,153.0,200.0,0.15,48,41,7,1.4049039999954402
0.17,153.0,200.0,0.5,48,39,9,1.32840950001264
