method,discovered_mechanism_families,primary_family_coverage_full_denominator,primary_family_coverage_non_adaptation_limited,primary_family_coverage_CMD_PAC_RL_TO,multilabel_any_coverage_full_denominator,discovered_exact_multilabel_signatures,discovered_exact_multilabel_signature_count,exact_multilabel_signature_coverage_full_denominator,exact_multilabel_signature_coverage_non_adaptation_limited,exact_multilabel_signature_coverage_CMD_PAC_RL_TO,exact_multilabel_signature_coverage_unique_signatures,moderate_failure_denominator,non_adaptation_limited_denominator,CMD_PAC_RL_TO_denominator,CMD_PAC_RL_TO_multilabel_denominator,MC_unique_exact_signature_denominator
Baseline FST,Concentrated dependency; Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,0.964969450101833,0.9704777241009125,0.7912621359223301,1.0,[Compounding moderate disturbance] | [Concentrated dependency] | [Concentrated dependency; Hidden convergent dependency] | [Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade],4,0.7934826883910387,0.8105206655931294,0.5972994440031771,0.26666666666666666,2455,1863,412,1259,15
Mechanism-balanced FST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,0.9511201629327902,0.9554482018250134,0.7087378640776699,0.9665987780040733,[Concentrated dependency] | [Concentrated dependency; Hidden convergent dependency] | [Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade] | [Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap] | [Concentrated dependency; Propagation-amplified cascade],5,0.8525458248472505,0.8733225979602791,0.7124702144559174,0.3333333333333333,2455,1863,412,1259,15
RST,Concentrated dependency; Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,1.0,1.0,1.0,1.0,[Compounding moderate disturbance] | [Concentrated dependency] | [Concentrated dependency; Hidden convergent dependency] | [Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade] | [Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap] | [Concentrated dependency; Propagation-amplified cascade] | [Hidden convergent dependency; Compounding moderate disturbance],7,0.9022403258655805,0.917337627482555,0.8093725178713265,0.4666666666666667,2455,1863,412,1259,15
